AISLE,SHELF,DESCRIPTION,SIZE,DEPARTMENT,ECOMM_DESCRIPTION,SIGN_DESCRIPTION
2,2,OS CRAISINS                         ,6 OZ      ,001,Ocean Spray Craisins,Ocean Spray Craisins                                                                                                                                                                                                                                           
2,2,S MAID MEDITRN APRCT                ,6 OZ      ,001,NULL,NULL
2,2,BST-CH DRY PINEAPPLE                ,6 OZ      ,001,NULL,NULL
2,2,BST-CH PITTED PRUNES                ,18 OZ     ,001,NULL,NULL
2,2,BST-CH DRY CRANBERRY                ,6 OZ      ,001,NULL,NULL
2,2,BST-CH DRY BLUEBERRY                ,3 OZ      ,001,NULL,NULL
2,1,GC CHEESECLOTH                      ,1 CT      ,006,NULL,NULL
501,1,POLIDENT 3MIN TAB                   ,40 CT     ,007,NULL,NULL
501,1,BST CH MNT DENTUR TB                ,44 CT     ,007,NULL,NULL
501,1,POLIDENT OVERNIGHT                  ,40 CT     ,007,NULL,NULL
501,1,EFFRDNT ORIGNL TABS                 ,44 CT     ,007,NULL,NULL
2,3,AL SAVE RAISINS BAG                 ,20 OZ     ,001,Always Save Raisins,NULL
501,1,BST CH DENTURE TABS                 ,44 CT     ,007,NULL,NULL
501,1,EFRDNT PLS MINT TAB                 ,44 CT     ,007,NULL,NULL
501,1,SUPER POLIGRIP PWD                  ,1.6 OZ    ,007,NULL,NULL
2,3,BST-CH RAISIN CNISTR                ,20 OZ     ,001,Best Choice Raisins,NULL
501,1,SEA BND ORIG LOWERS                 ,30 CT     ,007,NULL,NULL
2,3,BST-CH DRY APRICOTS                 ,6 OZ      ,001,NULL,NULL
501,1,SEA BND MINT UPPERS                 ,30 CT     ,007,NULL,NULL
501,1,COLG 2IN1 WHITENING                 ,4.6 OZ    ,007,NULL,NULL
501,1,COLG 2N1 KIDS WTRMLN                ,4.6 OZ    ,007,NULL,NULL
2,4,S MAID SDLS RAISN 6                 ,6 OZ      ,001,Sun Maid Raisin Singles,NULL
2,4,BST-CH SDLS RAISIN 6                ,6 OZ      ,001,NULL,NULL
2,4,S MAID MINI RASN BAG                ,12 EA     ,001,NULL,NULL
501,1,AQUAFRSH PUMP KIDS                  ,4.6 OZ    ,007,NULL,NULL
2,5,S MAID RAISINS CARTN                ,9 OZ      ,001,Sun Maid Raisins,NULL
2,5,S MAID SDLS RAISINS                 ,12 OZ     ,001,NULL,NULL
2,5,BST-CH SDLS RAISINS                 ,12 OZ     ,001,NULL,NULL
2,5,S MAID GOLDN RAISINS                ,15 OZ     ,001,NULL,NULL
2,6,AL SAVE UNSWT APLSCE                ,6 PK      ,001,NULL,NULL
2,6,AL SAVE SWT APPLESCE                ,6 PK      ,001,NULL,NULL
2,6,MOTTS NAT APLSCE 6PK                ,6 PK      ,001,Motts Unsweetened Applesauce Cups,Mott`s Applesauce                                                                                                                                                                                                                                              
500,1,RED CROSS TOOTHACHE                 ,.125 OZ   ,007,NULL,NULL
501,2,ORAJEL SEVR TTH ACHE                ,.25 OZ    ,007,NULL,NULL
501,2,SOFT PICKS ORIGINAL                 ,50 CT     ,007,NULL,NULL
100,1,ORAJEL PM MX STR CRM                ,.25 OZ    ,007,NULL,NULL
2,6,MOTTS CIN APLSCE 6PK                ,6 PK      ,001,Motts Cinnamon Applesauce Cups,Mott`s Applesauce                                                                                                                                                                                                                                              
501,2,ORAJEL REGULAR STR                  ,.25 OZ    ,007,NULL,NULL
2,6,MOTTS REG APLSCE 6PK                ,6 PK      ,001,Motts Apples Sauce Cups,Mott`s Applesauce                                                                                                                                                                                                                                              
501,2,BST CH FLOSS WAXED                  ,100 YD    ,007,NULL,NULL
501,2,ORALB FLOSS SATIN                   ,55 YD     ,007,NULL,NULL
501,2,BST CH FLOSS MINT WX                ,100 YD    ,007,NULL,NULL
501,2,BST CH FLOSSUPS MINT                ,36 CT     ,007,NULL,NULL
7,2,ORAJEL BBY DY TTH GL                ,.33 OZ    ,007,NULL,NULL
501,2,PLCKRS FLOSSERS MINT                ,36 CT     ,007,NULL,NULL
2,7,AL SAVE APPLESAUCE                  ,24 OZ     ,001,Always Save Apple Sauce,NULL
501,2,COLG EXTRA CLN FHS                  ,EACH      ,007,NULL,NULL
2,7,BST-CH NT APL SC 6PK                ,6 PK      ,001,NULL,NULL
501,2,BST CH GEM SFT                      ,EACH      ,007,Best Choice Soft Bristle Toothbrush,NULL
2,7,BST-CH CN APL SC 6PK                ,6 PK      ,001,NULL,NULL
2,7,BST-CH SWT APLSC 6PK                ,6 PK      ,001,NULL,NULL
501,2,BST CH GEM MED                      ,EACH      ,007,Best Choice Medium Bristle Toothbrush,NULL
501,2,BST CH SMRT GRIP SFT                ,EACH      ,007,NULL,NULL
501,2,TEK PRO T BRUSH MED                 ,EACH      ,007,NULL,NULL
2,7,BST-CH SQZ VARIETY                  ,12 CT     ,001,NULL,NULL
2,8,AL SAVE CIN APPLESCE                ,24 OZ     ,001,NULL,NULL
501,2,REACH CRYSTAL CLEAN                 ,EA        ,007,NULL,NULL
501,2,ORALB KDS DSN PRNCS                 ,EACH      ,007,NULL,NULL
2,8,BST-CH NAT APPLSAUCE                ,23 OZ     ,001,NULL,Best Choice Applesauce                                                                                                                                                                                                                                         
2,8,BST-CH APPLESAUCE                   ,24 OZ     ,001,NULL,Best Choice Applesauce                                                                                                                                                                                                                                         
2,8,BST-CH CIN APPLSCE                  ,48 OZ     ,001,Best Choice Cinnamon Applesauce,NULL
2,8,BST-CH NAT APPLSAUCE                ,46 OZ     ,001,Best Choice Natural Applesauce,NULL
501,3,FXDNT CRM ORIGINAL                  ,1.4 OZ    ,007,NULL,Fixodent                                                                                                                                                                                                                                                       
501,3,FXDNT CRM ORG CMPLT                 ,2.4 OZ    ,007,NULL,Fixodent                                                                                                                                                                                                                                                       
501,3,DENTU-CREME                         ,3.9 OZ    ,007,NULL,NULL
501,3,POLIGRIP ORIGINAL                   ,2.4 OZ    ,007,NULL,NULL
2,1,DM DC PEACHES F2G                   ,4 PK      ,001,Del Monte Diced Peaches Cups,Del Monte Fruit                                                                                                                                                                                                                                                
2,1,DOLE DCD PEARS SYRUP                ,4 PK      ,001,NULL,Dole Fruit Cups                                                                                                                                                                                                                                                
501,3,A&H ADVANCE WHITE                   ,4.3 OZ    ,007,NULL,NULL
501,3,A&H EXTRA WHITENING                 ,6 OZ      ,007,NULL,NULL
2,1,BST-CH EXTRA CHERRY                 ,4 PK      ,001,Best Choice Extra Cherry Mixed Fruit Cups,NULL
2,1,BST-CH PINAPPL TIDBT                ,4 PK      ,001,NULL,NULL
2,1,BST-CH TROP FRT CUPS                ,4 PK      ,001,Best Choice Tropical Fruit Cups 4Pk,NULL
501,4,AQUAFRSH CAV PRO TBE                ,5.6 OZ    ,007,NULL,NULL
2,1,BST-CH DICED PEARS                  ,4 PK      ,001,NULL,NULL
501,4,CRST TRTR WHT PASTE                 ,5.7 OZ    ,007,NULL,NULL
501,4,CRST BKSDA PRXD WHT                 ,5.7 OZ    ,007,NULL,NULL
2,1,CK COOKIE SPATULA                   ,EA        ,006,NULL,Cook`s Kitchen Utensils                                                                                                                                                                                                                                        
501,4,CRST TRTR REG TP                    ,5.7 OZ    ,007,NULL,NULL
501,4,CRST KDS SPKL FUN GL                ,4.6 OZ    ,007,NULL,NULL
501,4,SENSODYNE FULL PROT                 ,4 OZ      ,007,NULL,NULL
2,2,DM FR GEL MX FRT 4CT                ,4 PK      ,001,NULL,Del Monte Fruit                                                                                                                                                                                                                                                
501,4,SENSODYNE RR MINT                   ,3.4 OZ    ,007,NULL,NULL
2,2,AL SAVE MAND ORANGES                ,15 OZ     ,001,Always Save Mandarin Oranges,NULL
501,4,SNSDYN PN FRSH BRTH                 ,4 OZ      ,007,NULL,NULL
2,2,AL SAVE MAND ORANGES                ,11 OZ     ,001,Always Save Mandarin Oranges,NULL
501,4,SENSODYNE MINT                      ,4 OZ      ,007,NULL,NULL
2,2,BST-CH MAND OR N SGR                ,15 OZ     ,001,NULL,NULL
501,4,SENSODYNE EX WHITE                  ,4 OZ      ,007,NULL,NULL
2,2,BST-CH MANDARIN ORNG                ,11 OZ     ,001,NULL,NULL
2,2,DM FRUIT COCKTAIL                   ,8.5 OZ    ,001,Del Monte Fruit Cocktail,NULL
2,2,BST-CH MANDARIN ORNG                ,15 OZ     ,001,Best Choice Mandarin Oranges,NULL
501,5,COLG BK WHITNG                      ,4 OZ      ,007,NULL,NULL
501,5,COLG GRT REG FLVR                   ,4 OZ      ,007,NULL,NULL
501,5,COLG TRPL ACTN MINT                 ,4 OZ      ,007,NULL,NULL
501,5,AIM GEL CVTY PRO MNT                ,5.5 OZ    ,007,NULL,NULL
2,3,DOLE SL PAPL NAT JCE                ,8 OZ      ,001,Dole Pineapple Slices,NULL
501,5,CLOSE UP GEL                        ,6 OZ      ,007,NULL,NULL
501,5,PEPSODNT PST CC ORIG                ,5.5 OZ    ,007,NULL,NULL
501,5,ULTRA BRITE REGULAR                 ,6 OZ      ,007,NULL,NULL
2,3,DOLE CR PAPL NAT JCE                ,8 OZ      ,001,Dole Crushed Pineapple,NULL
2,3,DOLE SL PAPL NAT JCE                ,20 OZ     ,001,Dole Pineapple Slices,NULL
2,3,BST-CH PINAPPL SLICE                ,20 OZ     ,001,NULL,NULL
2,3,LIBBY SLC PINEAPPLE                 ,20 OZ     ,001,Libby`s Sliced Pineapple,Libby Pineapple                                                                                                                                                                                                                                                
2,3,AL SAVE FRUIT MIX                   ,15 OZ     ,001,Always Save Fruit Mix,NULL
501,6,CREST PRO-HEALTH MOUTH WASH         ,8.4 OZ    ,007,NULL,NULL
2,3,DM FRUIT COCKTAIL                   ,15.25Z    ,001,Del Monte Fruit Cocktail,Del Monte Fruits                                                                                                                                                                                                                                               
2,3,BST-CH LT CHK MX FRT                ,15 OZ     ,001,Best Choice Lite Chunky Mixed Fruit,NULL
501,6,BST CH MW SPRNG MNT                 ,16.9 OZ   ,007,NULL,NULL
501,6,BST CH MW GRN MNT                   ,8.4 OZ    ,007,NULL,NULL
501,6,LSTRN MW ORIGINAL                   ,33.8 OZ   ,007,NULL,NULL
501,6,BST CH MW AMBER                     ,33.8 OZ   ,007,NULL,NULL
2,4,AL SAVE PINAPPL CRSH                ,20 OZ     ,001,Always Save Crushed Pineapple,NULL
2,4,DOLE CR PAPL NAT JCE                ,20 OZ     ,001,Dole Crushed Pineapple,NULL
2,4,BST-CH PINAPPL CRSH                 ,20 OZ     ,001,NULL,NULL
2,5,LIBBY CRSH PINEAPPLE                ,20 OZ     ,001,Libby`s Crushed Pineapple,Libby Pineapple                                                                                                                                                                                                                                                
2,4,DM SLC PNAPPLE SRYP                 ,15.5 Z    ,001,NULL,Del Monte Pineapple                                                                                                                                                                                                                                            
2,4,DM NAT FRT COCKTAIL                 ,15 OZ     ,001,Del Monte 100% Juice Fruit Cocktail,Del Monte Fruits                                                                                                                                                                                                                                               
2,4,BST-CH LITE FRT CKTL                ,15 OZ     ,001,NULL,NULL
2,4,AL SAVE PEACH SLC LS                ,15 OZ     ,001,NULL,NULL
2,5,AL SAVE PINEAPL CHNK                ,20 OZ     ,001,Always Save Chunk Pineapple,NULL
2,5,DOLE PNAPL TID IN JC                ,20 OZ     ,001,Dole 100% Juice Pineapple Tidbits,NULL
2,5,BST-CH PINAPPL CHUNK                ,20 OZ     ,001,NULL,NULL
2,5,DM CRUSHD PAP NAT JC                ,15.25 Z   ,001,NULL,Del Monte Pineapple                                                                                                                                                                                                                                            
2,5,LIBBY PEAR HALVES                   ,15.25 OZ  ,001,Libby's Bartlett Pear Halves In Heavy Syrup,Libby Fruit                                                                                                                                                                                                                                                    
2,5,BST-CH FRUIT CCKTAIL                ,15.25 OZ  ,001,NULL,NULL
2,5,LBY FR COCKTAIL LS                  ,15 OZ     ,001,NULL,Libby Fruit                                                                                                                                                                                                                                                    
2,6,AL SAVE PINEAPL SLCE                ,20 OZ     ,001,Always Save Sliced Pineapple,NULL
2,6,DOLE CRUSHD PINEAPPL                ,20 OZ     ,001,Dole Crushed Pineapple in Heavy Syrup,NULL
2,6,BST-CH PINAPPL TIDBT                ,20 OZ     ,001,Best Choice Pineapple Tidbits·,NULL
2,6,BST-CH APR HV PLD HS                ,15.25 OZ  ,001,Best Choice Apricot Halves Unpeeled,NULL
2,6,LIBBY APRICT HLF SPL                ,14.5 OZ   ,001,Libbys No Sugar Added Unpeeled Apricot Halves,NULL
2,6,DM VRY CHRY MIX FRT                 ,15 OZ     ,001,Del Monte Very Cherry Mixed Fruit,Del Monte Fruits                                                                                                                                                                                                                                               
2,6,LIBBY VRYCHR FRT CTL                ,15 OZ     ,001,NULL,Libby Fruit                                                                                                                                                                                                                                                    
2,6,BST-CH XCHERRY MX FR                ,15 OZ     ,001,NULL,NULL
2,7,AL SAVE FRT MX                      ,29 OZ     ,001,NULL,NULL
2,7,DM YC PEACHES SLICED                ,29 OZ     ,001,NULL,NULL
2,7,BST-CH FRUIT CCKTAIL                ,30 OZ     ,001,Best Choice Fruit Cocktail,NULL
2,7,AL SAVE PEACH PIECES                ,29 OZ     ,001,Always Save Peach Pieces,NULL
2,7,AL SAVE PEACH SLICES                ,29 OZ     ,001,Always Save Peach Slices,NULL
2,1,BST-CH MAND ORG CUPS                ,4 PK      ,001,NULL,NULL
2,1,BST-CH DIC PCH CUPS                 ,4 PK      ,001,NULL,NULL
2,1,DOLE NSA PEACHES BWL                ,4 CT      ,001,Dole No Sugar Added Peach Cups,Dole Fruit Cups                                                                                                                                                                                                                                                
2,1,DOLE PEACH PARFAIT                  ,4 PK      ,001,NULL,Dole Fruit Cups                                                                                                                                                                                                                                                
2,1,DOLE MIXED FRUIT BWL                ,4 PK      ,001,NULL,Dole Fruit Cups                                                                                                                                                                                                                                                
2,1,DOLE FRT GEL BLKCHRY                ,4 PK      ,001,NULL,Dole Fruit Cups                                                                                                                                                                                                                                                
2,1,DOLE FRT GL MAND ORG                ,4 PK      ,001,NULL,Dole Fruit Cups                                                                                                                                                                                                                                                
2,1,DOLE MAND ORAN BOWL                 ,4 PK      ,001,Dole Mandarin Orange Cups,Dole Fruit Cups                                                                                                                                                                                                                                                
2,2,DOLE TROP FRT SALAD                 ,15.25 Z   ,001,NULL,NULL
2,2,BST-CH TRP FRT SALAD                ,15 OZ     ,001,NULL,NULL
3,8,AL SAVE FRD APLS ORG                ,15 OZ     ,001,Always Save Fried Apples,NULL
2,2,AL SAVE FRD APLS CIN                ,15 OZ     ,001,Always Save Fried Apples With Cinnamon,Always Save Fried Apples                                                                                                                                                                                                                                       
2,2,OS CRANBRY SCE JELL                 ,8 OZ      ,001,NULL,NULL
2,3,AL SAVE PEAR HALV LS                ,15 OZ     ,001,Always Save Pear Halves in Light Syrup,NULL
2,3,DM NSA SLICED PEACH                 ,14.5 Z    ,001,NULL,Del Monte Fruits                                                                                                                                                                                                                                               
2,3,AL SAVE WH PURP PLUM                ,15 OZ     ,001,NULL,NULL
2,3,MISSION PRIDE FRUIT MIX             ,15 OZ     ,001,NULL,NULL
2,7,MP YC SLCD PEACHES                  ,15 OZ     ,001,NULL,NULL
2,3,BST-CH SL PEAR SYRP                 ,15.25 Z   ,001,NULL,NULL
2,3,OS CRANBRY SCE JELL                 ,14 OZ     ,001,Ocean Spray Jellied Cranberry,Ocean Spray Cranberry Sauce                                                                                                                                                                                                                                    
2,4,LIBBY SLCD PEACH LS                 ,15 OZ     ,001,NULL,Libby Fruit                                                                                                                                                                                                                                                    
2,4,DM SLIC YC PEACHES                  ,15.25Z    ,001,Del Monte Sliced Peaches,Del Monte Fruits                                                                                                                                                                                                                                               
2,4,BST-CH LT PEACH SLC                 ,15 OZ     ,001,NULL,NULL
2,4,DM PEAR HALVES                      ,15.25Z    ,001,Del Monte Pear Halves,Del Monte Fruits                                                                                                                                                                                                                                               
2,4,LBY SLCD PEARS PJC                  ,15 OZ     ,001,Libby's Bartlett Pear Slices in Pear Juice,Libby Fruit                                                                                                                                                                                                                                                    
2,4,BST-CH PEAR HALV HS                 ,15.25 Z   ,001,NULL,NULL
2,5,OS CRANBRY SCE WHOLE                ,14 OZ     ,001,Ocean Spray Whole Berry Cranberry Sauce,Ocean Spray Cranberry Sauce                                                                                                                                                                                                                                    
2,4,BST-CH CRAN SC JELLY                ,14 OZ     ,001,Best Choice Jellied Cranberry Sauce,Best Choice Cranberry Sauce                                                                                                                                                                                                                                    
2,5,AL SAVE PEACH SL HS                 ,15.25 OZ  ,001,NULL,NULL
2,6,DM LITE SLC YC PCHS                 ,15 OZ     ,001,NULL,Del Monte Fruits                                                                                                                                                                                                                                               
2,5,BST-CH SL PCH NO SGR                ,14.5 OZ   ,001,NULL,NULL
2,6,BST-CH PEAR HALVES                  ,15 OZ     ,001,Best Choice Pear Halves,NULL
501,1,NAV TTHBRSH CAPS                    ,EACH      ,007,NULL,NULL
2,6,DM PEACH CHUNKS                     ,15.25Z    ,001,Del Monte Peach Chunks,Del Monte Fruits                                                                                                                                                                                                                                               
2,6,DM NSA SLICED PEARS                 ,14.5 Z    ,001,NULL,Del Monte Fruits                                                                                                                                                                                                                                               
130,5,BST-CH SLC PCH XLT                  ,15 OZ     ,001,NULL,NULL
2,6,BST-CH SL PEAR LT SY                ,15 OZ     ,001,NULL,NULL
2,6,BST-CH CRAN SC WHOLE                ,14 OZ     ,001,NULL,Best Choice Cranberry Sauce                                                                                                                                                                                                                                    
501,3,EFFERGRIP CREAM                     ,1.5 OZ    ,007,NULL,NULL
2,7,BST-CH PEACH HLVES                  ,29 OZ     ,001,NULL,NULL
2,7,AL SAVE PEAR HALV LS                ,29 OZ     ,001,Always Save Pears in Light Syrup,NULL
2,7,BST-CH PEAR HALVES                  ,29 OZ     ,001,NULL,NULL
2,1,MINUTE RICE WHITE                   ,14 OZ     ,001,Minute White Rice,Minute Rice                                                                                                                                                                                                                                                    
2,1,BST-CH INSTANT RICE                 ,14 OZ     ,001,NULL,NULL
2,1,MINUTE RICE WHITE                   ,28 OZ     ,001,NULL,NULL
2,1,BST-CH INSTANT RICE                 ,28 OZ     ,001,NULL,NULL
2,1,YUM SLOTTED SPOON MELAMINE          ,EA        ,006,NULL,NULL
999,999,HUTZLER SPOON                       ,EA        ,006,NULL,NULL
2,1,T-FAL SLTD SPN BASIC                ,EA        ,006,NULL,NULL
501,6,LSTRN MW COOL MNT                   ,16.9 OZ   ,007,NULL,NULL
501,6,LSTRN MW FRESH BURST                ,8.4 OZ    ,007,NULL,NULL
501,6,BST CH MW FRSH MINT                 ,8.4 OZ    ,007,NULL,NULL
501,6,LSTRN MW COOL MINT                  ,8.4 OZ    ,007,NULL,NULL
501,6,DR TICHENORS MTHWSH                 ,8 OZ      ,007,NULL,NULL
501,6,DR TICHENORS MTHWSH                 ,4 OZ      ,007,NULL,NULL
2,2,KNORR RS CHED BROC                  ,5.7 OZ    ,001,Knorr Cheddar Broccoli Rice Sides,Knorr Rice Sides                                                                                                                                                                                                                                               
501,1,MAGNETIC MEMO PADS                  ,EA        ,006,NULL,NULL
2,2,KNORR RS CRMY CKN RC                ,5.7 OZ    ,001,Knorr Creamy Chicken Rice Sides,Knorr Rice Sides                                                                                                                                                                                                                                               
2,2,KNORR RS SPANISH                    ,5.6 OZ    ,001,Knorr Fiesta Sides Spanish Rice,Knorr Rice Sides                                                                                                                                                                                                                                               
2,2,KNORR RS CKN BROC                   ,5.5 OZ    ,001,Knorr Chicken & Broccoli Rice Sides,Knorr Rice Sides                                                                                                                                                                                                                                               
501,1,NAIR LTN BABY OIL                   ,9 OZ      ,007,NULL,NULL
501,1,LUBRDRM LTN FRS SCNT                ,6 OZ      ,007,NULL,NULL
501,1,VICL LTN TTL MSTR                   ,10 OZ     ,007,NULL,NULL
2,2,KNORR RS HRB BTR RC                 ,5.5 OZ    ,001,Knorr Herb & Butter Rice Sides,Knorr Rice Sides                                                                                                                                                                                                                                               
501,1,VICL LTN MEN XTR STR                ,10 OZ     ,007,NULL,NULL
501,1,SUAVE LTN ADV THRPY                 ,10 OZ     ,007,NULL,NULL
501,1,SUAVE LTN CC BUTTER                 ,10 OZ     ,007,NULL,NULL
2,2,KNORR RS CKN FRY RC                 ,5.7 OZ    ,001,Knorr Asian Sides Chicken Fried Rice,Knorr Rice Sides                                                                                                                                                                                                                                               
501,1,JRGNS LTN ORIGINAL                  ,10 OZ     ,007,NULL,NULL
501,1,JRGNS LTN ULTR HLG                  ,10 OZ     ,007,NULL,NULL
501,1,GLD BND ITCH LTN                    ,5.5 OZ    ,007,NULL,NULL
2,3,ZAT RED BEANS RICE                  ,8 OZ      ,001,Zatarain`s Red Beans & Rice Mix,Zatarains Rice                                                                                                                                                                                                                                                 
501,1,BURTS TWLTS MICELLAR                ,30 CT     ,007,NULL,NULL
2,3,ZAT GUMBO BASE                      ,4.5 OZ    ,001,NULL,NULL
501,1,PONDS COLD CREAM                    ,6.1 OZ    ,007,NULL,NULL
501,1,JRGNS FACE CREME                    ,6 OZ      ,007,NULL,NULL
2,3,ZAT RICE PILAF                      ,6.3 OZ    ,001,NULL,NULL
501,1,NOXZ CRM ORG CLEANSG                ,12 OZ     ,007,NULL,NULL
2,3,ZAT RED BEANS RC MX                 ,12 OZ     ,001,NULL,Zatarain`s Family Size Dirty Rice                                                                                                                                                                                                                              
501,1,NEUT BAR ORIG FF                    ,3.5 OZ    ,007,NULL,NULL
501,1,NEUT ACNE CLN BAR                   ,3.5 OZ    ,007,NULL,NULL
2,3,BST-CH JMBALYA RC MX                ,8 OZ      ,001,NULL,NULL
501,1,STRDX ACNE PDS-MAX                  ,55 CT     ,007,NULL,NULL
2,3,RAR SPANISH RICE                    ,6.8 OZ    ,001,Rice A Roni·Spanish Rice,Rice A Roni                                                                                                                                                                                                                                                    
501,2,SUAVE KDS SH 2N1 SBR                ,18 OZ     ,007,NULL,NULL
501,2,SUAVE PRO SH ALM SB                 ,12.6 OZ   ,007,NULL,NULL
501,2,SUAVE SH GREEN APPLE                ,15 OZ     ,007,NULL,NULL
501,2,SUAVE CD GREEN APPLE                ,15 OZ     ,007,NULL,NULL
2,3,RAR FRIED RICE                      ,6.2 OZ    ,001,Rice A Roni Fried Rice,Rice A Roni                                                                                                                                                                                                                                                    
501,2,SUAVE SH ES STRAWBER                ,15 OZ     ,007,NULL,NULL
501,2,SUAVE CD ES STRAWBER                ,15 OZ     ,007,NULL,NULL
2,3,RAR MEXICAN RICE                    ,6.4 OZ    ,001,Rice A Roni Mexican Style Rice,Rice A Roni                                                                                                                                                                                                                                                    
501,2,SUAVE CD ES TROPICAL                ,15 OZ     ,007,NULL,NULL
2,4,ZAT RED SOD RED BEAN                ,7 OZ      ,001,NULL,NULL
2,4,ZAT SPANISH RICE                    ,6.9 OZ    ,001,NULL,NULL
2,4,ZAT MLD JAMBALAYA MX                ,8 OZ      ,001,NULL,Zatarains Rice                                                                                                                                                                                                                                                 
2,4,ZAT JAMBALAYA MIX                   ,8 OZ      ,001,Zatarain`s Jambalaya Rice Mix,Zatarains Rice                                                                                                                                                                                                                                                 
501,2,SUAVE SH ES TROPICAL                ,15 OZ     ,007,NULL,NULL
